CaseID,Category,question,num_of_debates,sum_of_debates
7,professional_accounting,"A shoe retailer allows customers to return shoes within 90 days of purchase. The company estimates that 5% of sales will be returned within the 90-day period. During the month, the company has sales of $200,000 and returns of sales made in prior months of $5,000. What amount should the company record as net sales revenue for new sales made during the month? The options are: A) $185,000, B) $190,000, C) $195,000, D) $200,000",[2],2
8,professional_accounting,"Rune Co.'s checkbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 checkbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 checkbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet? The options are: A) $9,000, B) $10,000, C) $13,000, D) 14000","[1, 1]",2
9,professional_accounting,"A partner in a general partnership is usually not entitled to which of the following? The options are: A) To participate in management., B) To review accounting records., C) To enter into a contract with a third party without the consent of the other partners., D) To be liable only for personal negligence.","[1, 1]",2
10,professional_accounting,"Long was a purchasing agent for Frost, a sole proprietor. Long had express authority to place purchase orders with Frost's suppliers. Long conducted business on the Internet and had little contact with Frost. After Frost was declared incompetent in a judicial proceeding, Long placed an order with Grant Corp. on Frost's behalf. Both Long and Grant were unaware of Frost's incompetence. Will Frost or Frost's legal representative be liable to Grant? The options are: A) Yes, because Long's agency survived Frost's incompetence., B) Yes, because the order was valid regardless of Frost's incompetence., C) No, because Grant dealt only with Long., D) No, because Long did not have authority to enter into the contract.",[1],1
11,professional_accounting,"Under state law Boca Co. may reimburse the state directly for actual unemployment claims or it may pay 3% of eligible gross wages. Boca believes that actual unemployment claims will be 2% of eligible gross wages and has chosen to reimburse the state. Eligible gross wages are defined as the first $15000 of gross wages paid to each employee. Boca had four employees each of whom earned $20000 during the year. What amount should Boca report as accrued liability for unemployment claims in its year-end balance sheet? The options are: A) $1,200, B) $1,600, C) $1,800, D) 2400",0,0
12,professional_accounting,"A bond issued on June 1, year 1, has interest payment dates of April 1 and October 1. Bond interest expense for the year ended December 31, year 1, is for a period of The options are: A) Three months., B) Four months., C) Six months., D) Seven months.",[1],1
13,professional_accounting,"A nongovernmental, not-for-profit organization held the following investments:
Investment Cost, Fair value (beginning of year), Fair value (end of year)
Stock A (100 shares), $50 per share, $45, $51
Stock B (200 shares), $40 per share, $41, $49
What amount of stock investments should be reported in the year-end statement of financial position? The options are: A) $12,700, B) $13,000, C) $13,800, D) $14,900",[1],1
14,professional_accounting,"A company last paid a dividend of $3. If the expected return on its equity is estimated at 12% and its shares are currently quoted on London Stock Exchange at $75, what should the dividend growth rate be to ensure that the price is consistent with the pricing of a growing perpetuity? The options are: A) 0%, B) 8%, C) 16%, D) -4%","[1, 1, 1]",3
15,professional_accounting,"On January 1, a company enters into an operating lease for office space and receives control of the property to make leasehold improvements. The company begins alterations to the property on March 1 and the company’s staff moves into the property on May 1. The monthly rental payments begin on July 1. The recognition of rental expense for the new offices should begin in which of the following months? The options are: A) January., B) March., C) May., D) July.",0,0
16,professional_accounting,"A company invested in a new machine that will generate revenues of $35,000 annually for seven years. The company will have annual operating expenses of $7,000 on the new machine. Depreciation expense, included in the operating expenses, is $4,000 per year. The expected payback period for the new machine is 5.2 years. What amount did the company pay for the new machine? The options are: A) $145,600, B) $161,200, C) $166,400, D) $182,000",0,0
