CaseID,Category,question,num_of_debates,sum_of_debates
66,professional_law,"A retiree owned a 100-acre farm. For many years, the retiree grew tobacco on a 10-acre strip located in the northeast section of the property. In March, the retiree planted his annual tobacco crop, which he usually harvested in early October. In September, the retiree sold his farm to a tobacco grower for $100,000. At the time the retiree conveyed the property to the grower, the tobacco crop was well developed and quite mature. When the retiree and the grower entered into their land-sale agreement, there was no mention of the status or ownership of the tobacco crop. In early October, after the grower took possession of the property, the retiree contacted him and requested permission to harvest and remove the tobacco crop. The grower refused to allow the retiree to re-enter the property. The retiree brings suit against the grower seeking to re-enter the property and remove the tobacco crop that he had planted. Which of the following is correct regarding the respective rights of the parties? The options are: A) The retiree is entitled to remove the tobacco crop, but he must pay the grower a reasonable value to enter the property, thus gaining access to the crop., B) The retiree is entitled to remove the tobacco crop and is not required to pay the grower for entering the property, thus gaining access to the crop., C) The retiree is not entitled to remove the tobacco crop and, thus, is not entitled to re-enter the property., D) The retiree and the grower each have a colorable title to the tobacco crop, and consequently, there should be an equitable division of the proceeds from the sale of the crop between both parties.",0,0
67,professional_law,"A man died in 1985. His will devised his estate in a Midwestern state to his son and daughter ""to share and share alike as tenants in common. ""At the time of their father's death, the daughter lived in a different part of the Midwestern state (in which the estate was located) while the son resided in a state in the Southwest. After the funeral, the daughter returned to her own residence, but the son decided to occupy the estate. He put his name on the mailbox and has paid the taxes and maintenance expenses. The daughter has been generally aware of this, but because she cared little about the estate, the daughter has never pressed her brother about the property. Since 1985, the daughter has not paid any rent or other compensation to her brother, nor has he requested such payment. In January 2010, a series of disputes arose between the son and daughter for the first time concerning their respective rights to the estate. The state in which the property is located recognizes the usual common law types of cotenancies and there is no applicable legislation on the subject. Now, the son claims the entire fee simple absolute title to the estate and brings an action against his sister to quiet title in himself. If the Midwestern states in which the property is located has an ordinary 20-year adverse possession statute, judgment should be for whom? The options are: A) The daughter, because one cotenant cannot acquire title by adverse possession against another., B) The daughter, because there is no evidence that her brother has performed sufficient acts to constitute an ouster., C) The son, because the acts of the parties indicate the sister's intention to renounce her ownership rights to the estate., D) The son, because during the past 25 years, the son has exercised the type of occupancy ordinarily considered sufficient to satisfy adverse possession requirements.",[1],1
68,professional_law,"On December 30, a restaurant entered into a written contract with a bakery to supply the restaurant with all of its bread needs for the next calendar year. The contract contained a provision wherein the restaurant promised to purchase ""a minimum of 100 loaves per month at $1 per loaf. "" On a separate sheet, there was a note stating that any modifications must be in writing. The parties signed each sheet. Both sides performed fully under the contract for the first four months. On May 1, the president of the bakery telephoned the manager of the restaurant and told him that, because of an increase in the cost of wheat, the bakery would be forced to raise its prices to $1. 20 per loaf. The manager said he understood and agreed to the price increase. The bakery then shipped 100 loaves (the amount ordered by the restaurant) to the restaurant, along with a bill for $120. The restaurant sent the bakery a check for$100 and refused to pay any more. Is the restaurant obligated to pay the additional $20? The options are: A) Yes, because the May 1 modification was enforceable even though it was not supported by new consideration., B) Yes, because the bakery detrimentally relied on the modification by making the May shipment to the restaurant., C) No, because there was no consideration to support the modification., D) No, because the modifying contract was not in writing; it was, therefore, unenforceable under the UCC.",0,0
69,professional_law,"The head coach of the local high school football team was also employed as a physical education teacher at the high school. It was a late autunm afternoon, and the football team was practicing for its upcoming game against its archrival. While the team was practicing, the skies darkened as a storm approached. Minutes later, it began to rain heavily. Even though the storm intensified, the coach did not stop the practice because he had no reason to believe the storm presented a danger to his players. Suddenly, a bolt of lightning struck and killed the team's star player. This jurisdiction has abolished governmental immunity, and a school board may be sued as a private entity. If the player's parents bring a wrongful death action against the coach and the high school board, will they prevail? The options are: A) Yes, because the player was injured while engaged in a school activity., B) Yes, because under the circumstances the coach would be strictly liable., C) No, because the coach was not negligent by continuing the practice., D) No, because lightning is an act of God.",0,0
70,professional_law,"A car manufacturer produced a car that was sold nationwide. Problems with the car's brakes allegedly caused several accidents and injuries. Two individual buyers of the car each filed a class action, in different states, against the manufacturer, asserting the same products liability claims on behalf of all buyers nationwide. One class action was filed in federal court and the other was filed in state court. The parties in the federal action reached a court- approved settlement, and the court entered judgment dismissing the action with prejudice. The manufacturer's attorney has moved to dismiss the state court action on the basis of res judicata (claim preclusion). Should the state court look to federal or state law to decide the effect of the judgment? The options are: A) Federal law, because the judgment was entered in federal court., B) Federal law, because the judgment was the result of a nationwide action governed by the federal class action rule., C) State law, because the judgment is being asserted in a state court., D) State law, because there is no general federal common law and preclusion is a common law doctrine.",0,0
71,professional_law,"A homeowner was holding his annual party at his home. His parties attracted a wide variety of diverse individuals. On the night in question, a defendant was loafing at the local bar when a number of the invited guests came in to purchase spirits for the party. The defendant decided to crash the party. He arrived at the homeowner's house around midnight when the party was in full swing. He went in through the front door, which was unlocked, and easily mingled with the other partygoers. During the party, the defendant wandered through the house and came upon a baseball, signed by a famous baseball player, in a glass case. Knowing the ball to be very valuable, the defendant put it under his jacket and made his way down the stairs and out the front door. If the defendant is subsequently charged with burglary, he will probably be found The options are: A) guilty, because he crashed the party., B) guilty, because he intended to steal the baseball., C) not guilty, because he crashed the party only to have a good time., D) not guilty, because the front door was unlocked.",0,0
72,professional_law,"In which of the following situations is the defendant most likely guilty of manslaughter? The options are: A) A defendant was a guide on a nature walk in a national park. The group was traversing a mountainous path when a mountain lion suddenly appeared. The defendant, who was carrying a loaded gun, knew that mountain lions and coyotes were in the area. The defendant saw that the mountain lion was about to attack one of the hikers. Although the defendant could have easily shot and killed it, he did nothing. The wild animal pounced on the hiker. As she was being savaged, the defendant and the other members of the group ran to safety., B) A defendant, a registered nurse, asked her friend out to lunch. While eating, the friend suddenly began choking on a chicken bone. The defendant did nothing to help her friend. The friend choked to death., C) A defendant, a physician, was walking home from his office one afternoon when he saw a car hit a man who was trying to cross the street. The victim was knocked to the ground and seriously injured, while the car sped away. The defendant, who could have saved the man's life if he had treated him, continued walking home without rendering assistance. The man died from loss of blood., D) A defendant took his four-year-old daughter out in the yard to play. As they were playing catch, the telephone began to ring. The defendant ran into the house to answer the phone. While he was inside, the daughter's ball rolled into the street. As she went to retrieve it, the daughter was struck and killed by a car.",[1],1
73,professional_law,"Government drug officials from a neighboring country contacted a federal agency notifying the agency that drugs were being shipped by express mail next-day service to a defendant. The federal agency contacted the local police with the information regarding the defendant. The local police had long suspected the defendant of dealing drugs. The next day, two undercover police officers drove to the defendant's home and waited outside. A couple of hours later, the officers saw an express mail delivery truck pull up outside the defendant's home. The delivery person carried an express mail box to the front door and rang the doorbell. The officers then witnessed the defendant answer the door and take the package inside. Approximately 20 minutes later, the defendant left the house carrying the express mail box. She walked to her car, placed the package in the trunk, and drove off. The police followed in the squad car and pulled her over at the next traffic signal. The officers placed the defendant under arrest and instructed her to open the trunk. They confiscated the express mail box and opened it. Inside was a package of white powder, which lab tests later confirmed to be cocaine. The defendant was charged with illegal possession of cocaine. While awaiting trial, her attorney filed a motion to suppress the introduction of the cocaine into evidence. The motion will be The options are: A) granted, because the police failed to obtain a search warrant before opening the trunk of the vehicle., B) granted, because the police failed to obtain a search warrant before opening the package., C) denied, because the police had probable cause to conduct the search., D) denied, because the search was incident to a lawful arrest.",0,0
74,professional_law,"A plaintiff sued the insurer of her home after the insurer denied coverage for water damage to the home allegedly caused by a frozen plastic pipe that burst. At trial, the insurer called as an expert witness an engineer, who testified that the pipe had burst because of age rather than freezing. On cross-examination, the engineer admitted that five years earlier, he had been convicted of tax fraud, even though he had asserted that it was his accountant's error. In response, the insurer calls a witness, who is well acquainted with the engineer and his reputation, to testify that (1) in the witness's opinion, the engineer is a truthful person, and (2) the engineer's neighbors all describe him as a truthful person. How much, if any, of the witness's testimony is admissible? The options are: A) All of the testimony is admissible to support the engineer's credibility., B) Only the portion concerning the engineer's reputation is admissible, because where both opinion and reputation evidence are available, only the latter is admissible under a rule of preference., C) Only the portion concerning the witness's opinion of the engineer's character, because the witness's reporting of the neighbors' comments is hearsay., D) None of the testimony is admissible, because it is collateral, having no bearing on the engineer's qualifications as an expert.",0,0
75,professional_law,"In 1996, a developer purchased a 100-acre tract located in a northern county in a state. Shortly thereafter, the developer prepared a subdivision plan that created 100 one-acre residential building lots on this tract. In 1997, the subdivision plan was recorded with the county recorder's office. During the next few years, the developer sold 60 residential lots to individual purchasers. Each deed specified that every lot designated on the subdivision plan was to be recorded in the county recorder's office. Each deed also provided the following:""No house trailer or mobile home shall be built or maintained on any lot within the subdivision. ""In 2003, the developer conveyed the remaining 40 lots to a builder by deed that included language identical to that contained in the first 60 deeds. This deed from the developer to the builder was recorded. By 2008, the builder had sold all of the 40 lots. Each of these deeds identified each lot as being a part of the subdivision, but did not include the clause relating to mobile homes. On January 30, 2009, a buyer, who had purchased one of the residential lots from the builder, placed a mobile home on his property. Which of the following statements is LEAST accurate with respect to the buyer's deed? The options are: A) The covenant prohibiting mobile homes ran with the land as far as the builder, but not as far as the buyer., B) The covenant prohibiting mobile homes could be enforced by any subdivision lot owner., C) The buyer should have had constructive notice of the restriction against mobile homes., D) All subsequent grantees of the builder would be in privity of estate.",0,0
