CaseID,Category,question,num_of_debates,sum_of_debates
83,business_ethics,"Insider trading undermines the fiduciary relationship. The options are: A) 1,2,3, B) 1,2,4, C) 2,3,4, D) 1,2,3,4",[1],1
94,business_ethics,"The focus on issues, the intended audience extending beyond shareholders and the voluntary nature of ___________ distinguish it from _________. The options are: A) Financial accounting, Environmental management initiatives, B) Financial accounting, Social accounting., C) Social accounting, Financial accounting., D) Annual report publication, Social accounting",[1],1
95,formal_logic," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ Q
Q · R / ~P · R The options are: A) Valid, B) Invalid. Counterexample when P, R, and Q are true, C) Invalid. Counterexample when P and Q are true and R is false, D) Invalid. Counterexample when R and Q are true and P is false",0,0
96,formal_logic,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
(K · L) ⊃ M
N ⊃ ~M
N ∨ K / L ⊃ K The options are: A) Valid, B) Invalid. Counterexample when L, M, and N are true and K is false, C) Invalid. Counterexample when L and M are true and K and N are false, D) Invalid. Counterexample when L and N are true and K and M are false","[1, 1, 1, 1, 1]",5
95,formal_logic," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~X ⊃ Y
Y ⊃ Z
~Z / ~X The options are: A) Valid, B) Invalid. Counterexample when X, Y, and Z are true, C) Invalid. Counterexample when Y and Z are true and Z is false, D) Invalid. Counterexample when X is true and Y and Z are false","[1, 1, 1, 2, 1]",6
98,formal_logic,"Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y) The options are: A) Tdc, B) Tcd, C) Tcc, D) dTc",0,0
95,formal_logic," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~X ⊃ Y
Y ⊃ Z
~Z / ~X The options are: A) Valid, B) Invalid. Counterexample when X, Y, and Z are true, C) Invalid. Counterexample when Y and Z are true and Z is false, D) Invalid. Counterexample when X is true and Y and Z are false",[1],1
100,formal_logic," Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's importing beef is a sufficient condition for France's subsidizing agriculture, or China doesn't promote human rights when and only when South Africa supplies diamonds. The options are: A) (E ⊃ F) ∨ (~C ⊃ S), B) (F ⊃ E) ∨ (S ⊃ ~C, C) (E ⊃ F) ∨ ~(S ≡ C), D) (E ⊃ F) ∨ (~C ≡ S)",[1],1
95,formal_logic," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
P ⊃ Q
Q · R / ~P · R The options are: A) Valid, B) Invalid. Counterexample when P, R, and Q are true, C) Invalid. Counterexample when P and Q are true and R is false, D) Invalid. Counterexample when R and Q are true and P is false",0,0
96,formal_logic,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
H ≡ (~I ∨ J)
H ∨ ~J / ~I The options are: A) Valid, B) Invalid. Counterexample when H, I, and J are false, C) Invalid. Counterexample when H and I are true and J is false, D) Invalid. Counterexample when I is true and H and J are false","[1, 1]",2
103,formal_logic,"Identify the antecedent of the following conditional proposition: The Bees win their first game only if either the Aardvarks or the Chipmunks do not win their first games. The options are: A) The Aardvarks do not win their first game., B) The Bees win their first game., C) The Chipmunks do not win their first game., D) Either the Aardvarks or the Chipmunks do not win their first games.",[1],1
104,formal_logic," Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's not importing beef is a necessary condition for France's subsidizing agriculture, or China promotes human rights if and only if South Africa doesn't supply diamonds. The options are: A) (F ⊃ ~E) ∨ (C ≡ ~S), B) (~E ⊃ F) ∨ (C ⊃ ~S), C) ~(F ⊃ E) ∨ (~S ⊃ C), D) (F ⊃ E) ∨ (C ≡ ~S)","[1, 1, 1, 1, 1]",5
