CaseID,Category,question,num_of_debates,sum_of_debates
1,professional_accounting,"Johnson worked for ABC Co. and earned a salary of $100,000. Johnson also received, as a fringe benefit, group termlife insurance at twice Johnson’s salary. The annual IRS established uniform cost of insurance is $2.76 per $1,000. What amount must Johnson include in gross income? The options are: A) $100,000, B) $100,276, C) $100,414, D) $100,552",0,0
2,professional_accounting,"Pine Co. purchased land for $450000 as a factory site. An existing building on the site was razed before construction began. Additional information is as follows: Cost of razing old building $60000 Title insurance and legal fees to purchase land $30000 Architect's fees $95000 New building construction cost $1850000 What amount should Pine capitalize as the cost of the completed factory building? The options are: A) $2,005,000, B) $1,975,000, C) $1,945,000, D) 1910000","[3, 1]",4
3,professional_accounting,"The following information pertains to Dash Co.'s utility bills: Period covered Amount Date paid April 16 ‚Äì May 15 $5000 June 1 May 16 ‚Äì June 15 $6000 July 1 June 16 ‚Äì July 15 $8000 August 1 What is the amount that Dash should report as a liability in its June 30 balance sheet? The options are: A) $6,000, B) $7,000, C) $10,000, D) 14000","[1, 1]",2
4,professional_accounting,"Spark Co. buys cordless phones for $125 each and sells them for $200 each. Spark pays a sales commission of $25 per phone sold and monthly fixed costs are $3000. Assuming Spark desired a profit of 10% of sales how many units must Spark sell? The options are: A) 600, B) 400, C) 200, D) 100","[1, 1]",2
5,professional_accounting,"The standard deviations of Stocks A and B are respectively 6% and 18%. If their correlation is 0.2 and an equal weighted portfolio is formed, what is the standard deviation of such a portfolio? The options are: A) 10%, B) 5%, C) 3.40%, D) 9.70%","[1, 1, 1]",3
6,professional_accounting,"Simmons gives her child a gift of publicly traded stock with a basis of $40,000 and a fair market value of $30,000. No gift tax is paid. The child subsequently sells the stock for $36,000. What is the child’s recognized gain or loss, if any? The options are: A) $4,000 loss., B) No gain or loss., C) $6,000 gain., D) $36,000 gain.","[1, 1]",2
7,professional_accounting,"A shoe retailer allows customers to return shoes within 90 days of purchase. The company estimates that 5% of sales will be returned within the 90-day period. During the month, the company has sales of $200,000 and returns of sales made in prior months of $5,000. What amount should the company record as net sales revenue for new sales made during the month? The options are: A) $185,000, B) $190,000, C) $195,000, D) $200,000",0,0
8,professional_accounting,"Rune Co.'s checkbook balance on December 31 was $10000. On that date Rune held the following items in its safe: $4000 check payable to Rune postdated January 3 and not included in the December 31 checkbook balance in collection of a sale made in December. $1000 check payable to Rune deposited December 15 and included in the December 31 checkbook balance but returned by the bank on December 30 stamped ""NSF"". The check was redeposited on January 2 and cleared on January 9. What amount should Rune report as cash in its December 31 balance sheet? The options are: A) $9,000, B) $10,000, C) $13,000, D) 14000",[1],1
9,professional_accounting,"A partner in a general partnership is usually not entitled to which of the following? The options are: A) To participate in management., B) To review accounting records., C) To enter into a contract with a third party without the consent of the other partners., D) To be liable only for personal negligence.",[1],1
10,professional_accounting,"Long was a purchasing agent for Frost, a sole proprietor. Long had express authority to place purchase orders with Frost's suppliers. Long conducted business on the Internet and had little contact with Frost. After Frost was declared incompetent in a judicial proceeding, Long placed an order with Grant Corp. on Frost's behalf. Both Long and Grant were unaware of Frost's incompetence. Will Frost or Frost's legal representative be liable to Grant? The options are: A) Yes, because Long's agency survived Frost's incompetence., B) Yes, because the order was valid regardless of Frost's incompetence., C) No, because Grant dealt only with Long., D) No, because Long did not have authority to enter into the contract.",0,0
11,professional_accounting,"Under state law Boca Co. may reimburse the state directly for actual unemployment claims or it may pay 3% of eligible gross wages. Boca believes that actual unemployment claims will be 2% of eligible gross wages and has chosen to reimburse the state. Eligible gross wages are defined as the first $15000 of gross wages paid to each employee. Boca had four employees each of whom earned $20000 during the year. What amount should Boca report as accrued liability for unemployment claims in its year-end balance sheet? The options are: A) $1,200, B) $1,600, C) $1,800, D) 2400",0,0
12,professional_accounting,"A bond issued on June 1, year 1, has interest payment dates of April 1 and October 1. Bond interest expense for the year ended December 31, year 1, is for a period of The options are: A) Three months., B) Four months., C) Six months., D) Seven months.",[1],1
13,professional_accounting,"A nongovernmental, not-for-profit organization held the following investments:
Investment Cost, Fair value (beginning of year), Fair value (end of year)
Stock A (100 shares), $50 per share, $45, $51
Stock B (200 shares), $40 per share, $41, $49
What amount of stock investments should be reported in the year-end statement of financial position? The options are: A) $12,700, B) $13,000, C) $13,800, D) $14,900",0,0
